review,aspect,context,sentiment,sentiment_score
This book is an excellent source of knowledge and information. So much of the information is still relevant today and is timeless. The deep level of knowledge and in sight into the industry and business is a real feast for the novice.Would recommend this to any man that is interested in his clothing image. The value of representing your self to the best of your ability.Colt 45,Price / Value,The value of representing your self to the best of your ability,Positive,0.7688229395952282
"Read it all of it. can not say that I will use any of it. As a woodsman we usually go out already prepared and with our own more modern and durable gear. maybe if I were to live out there and have to replace my goods as they will inevitable need replacing with the suggestions in this book, but seeing as I am a working class man and will not live n the woods it just is good reading and that is all.",Build Quality,As a woodsman we usually go out already prepared and with our own more modern and durable gear,Negative,0.9294307338715165
"Though the Carlyle glassware is currently out of stock, I decided to write a review assuming they'll be back. I bought these glasses over a year ago after noticing that I was down to mismatched glasses in the cabinet that I didn't like much.After looking around the store, I decided on these. Generally, I like to buy glasses at a physical store because of the ""touch"" factor. Each of the exterior widening ""steps"" in the design helps keep the glass from slipping from one's grasp. Simple, but very cool idea that looks good too. It's been great for kids (runs in the family). They come out of the dishwasher looking great. I also like the idea that this is an old design from the 1930's.Finally, maybe the best thing; they're tough, and don't break when you'd expect. We've accidentally knocked them off a side table onto our marble floor too many times and are always amazed that they're in one piece.These are great for everyday use and I highly recommend them.",Build Quality,"Each of the exterior widening ""steps"" in the design helps keep the glass from slipping from one's grasp ... I also like the idea that this is an old design from the 1930's",Negative,0.7256713221204427
"I just got these stockings but the seller sent me a way smaller size (A-B) than I ordered, I e-mailed them telling them about the problem and will keep you dear buyer posted. I cannot tell you about anything about the quality or color because I have not opened the ones I received.",Build Quality,I cannot tell you about anything about the quality or color because I have not opened the ones I received,Negative,0.9950760343076746
If you are a John Denver fan this disk will make you cry and not for the reasons you might expect. I turned it off after 5 tracks because I couldn't bare to listen to it any more. I had the feeling that someone had rummaged through some old discarded session tapes and had played them back through a pillow. The arrangements were definitely not what I was expecting and the quality was awful. I gave this recoding 1 star but only because they wouldn't let me out of the screen without filling in that field!,Build Quality,The arrangements were definitely not what I was expecting and the quality was awful,Negative,0.9999880599506233
"I ordered the samples of this product because I was interested in trying the sulphate free shampoo, which is expensive. The samples are REALLY random, so you may not get ones you actually wanted to try. Most of the ones I got were things I wasn't interested in. And I didn't get the shampoo sample. They say you can return it for a refund, less shipping and handling, but the shipping and handling were double the cost of the product itself.",Price / Value,"I ordered the samples of this product because I was interested in trying the sulphate free shampoo, which is expensive ... the shipping and handling were double the cost of the product itself",Positive,0.54970040430601
"I ordered the samples of this product because I was interested in trying the sulphate free shampoo, which is expensive. The samples are REALLY random, so you may not get ones you actually wanted to try. Most of the ones I got were things I wasn't interested in. And I didn't get the shampoo sample. They say you can return it for a refund, less shipping and handling, but the shipping and handling were double the cost of the product itself.",Customer Support,"They say you can return it for a refund, less shipping and handling",Negative,0.9993737014098257
"I ordered the samples of this product because I was interested in trying the sulphate free shampoo, which is expensive. The samples are REALLY random, so you may not get ones you actually wanted to try. Most of the ones I got were things I wasn't interested in. And I didn't get the shampoo sample. They say you can return it for a refund, less shipping and handling, but the shipping and handling were double the cost of the product itself.",Delivery / Packaging,"They say you can return it for a refund, less shipping and handling ... the shipping and handling were double the cost of the product itself",Negative,0.9990786540856914
Once again an excellant service from Amazon. The book is just as I expected. A good quality paper back.R.V.Angel.,Customer Support,Once again an excellant service from Amazon,Negative,0.8739426827958025
Once again an excellant service from Amazon. The book is just as I expected. A good quality paper back.R.V.Angel.,Build Quality,A good quality paper back,Positive,0.9998915865739129
"Somebody from higher places should have stopped Mr. Higgins and the publisher from putting this book on the market.It¡s quite disturbing to see the absence of integrity and sense of responsibility in providing a joy of reading to the public.All along, I had fight off the growing urge of disposing this disastrous novel only because the shipping charge cost more than the book itself.Yet, once I overcame my frustration and finished the book, I regretted not heeding to my senses.It¡s obvious that Mr. Higgins had no heart in writing this book, and he made no effort in showing creativity with words.I was about to scream my head off when he kept rehashing the same phrases (e.g., browning with carswell silencer) over and over again in every single chapter!!This book made me a true anti-Higgins....",Battery,"All along, I had fight off the growing urge of disposing this disastrous novel only because the shipping charge cost more than the book itself",Negative,0.6500433014759252
"Somebody from higher places should have stopped Mr. Higgins and the publisher from putting this book on the market.It¡s quite disturbing to see the absence of integrity and sense of responsibility in providing a joy of reading to the public.All along, I had fight off the growing urge of disposing this disastrous novel only because the shipping charge cost more than the book itself.Yet, once I overcame my frustration and finished the book, I regretted not heeding to my senses.It¡s obvious that Mr. Higgins had no heart in writing this book, and he made no effort in showing creativity with words.I was about to scream my head off when he kept rehashing the same phrases (e.g., browning with carswell silencer) over and over again in every single chapter!!This book made me a true anti-Higgins....",Price / Value,"All along, I had fight off the growing urge of disposing this disastrous novel only because the shipping charge cost more than the book itself",Negative,0.6500433014759252
"Somebody from higher places should have stopped Mr. Higgins and the publisher from putting this book on the market.It¡s quite disturbing to see the absence of integrity and sense of responsibility in providing a joy of reading to the public.All along, I had fight off the growing urge of disposing this disastrous novel only because the shipping charge cost more than the book itself.Yet, once I overcame my frustration and finished the book, I regretted not heeding to my senses.It¡s obvious that Mr. Higgins had no heart in writing this book, and he made no effort in showing creativity with words.I was about to scream my head off when he kept rehashing the same phrases (e.g., browning with carswell silencer) over and over again in every single chapter!!This book made me a true anti-Higgins....",Delivery / Packaging,"All along, I had fight off the growing urge of disposing this disastrous novel only because the shipping charge cost more than the book itself",Negative,0.6500433014759252
Having the same problem as others mentioned here. Does not work on my iBook G4. Alternates between battery and power adapter.,Battery,Alternates between battery and power adapter,Positive,0.9997887122916703
"This shape-wear is the best I've had until now regarding easiness to wear and put-on. It does a great job at keeping the post-pregnancy flabby belly under control. However, after about 2 months of daily use, the metal that gives the support is coming out from the fabric. It seems that the metal is rubbing out the fabric and thins it enough to come out. I wish there was a better designed support for this binder. Otherwise, it is awesome - good looking for such lingerie. So, if you buy it, expect 2 months of wearing it without problems...",Build Quality,", after about 2 months of daily use, the metal that gives the support is coming out from the fabric ... It seems that the metal is rubbing out the fabric and thins it enough to come out",Negative,0.9810442547360608
"This shape-wear is the best I've had until now regarding easiness to wear and put-on. It does a great job at keeping the post-pregnancy flabby belly under control. However, after about 2 months of daily use, the metal that gives the support is coming out from the fabric. It seems that the metal is rubbing out the fabric and thins it enough to come out. I wish there was a better designed support for this binder. Otherwise, it is awesome - good looking for such lingerie. So, if you buy it, expect 2 months of wearing it without problems...",Customer Support,", after about 2 months of daily use, the metal that gives the support is coming out from the fabric ... I wish there was a better designed support for this binder",Negative,0.9996004024204116
"Just got the game....NOT IMPRESSED! These 5 star reviews must have been written by the makers of the game, cuz this player thinks it [stinks]. Lara's movements are slow and chunky. Movements that used to be simple, such as jump back to get a run forward, has turned into spin Lara around, walk, and spin around again...and since this changes your view of the surroundings it's easy to get confused (camera angles [stink] too) Lara's control is a nuisance and it's NOT worth my time to play this game.",Price / Value,and since this changes your view of the surroundings it's easy to get confused (camera angles [stink] too) Lara's control is a nuisance and it's NOT worth my time to play this game,Negative,0.9999938945367436
"Tess, a naive and young girl whose one night relationship with her cousin Alec ruins her life, is a great example of a woman in love who would do anything for her husband and nothing for herself. Tess is a great book to read. I NEED HELP AND SOON IN LESS THAN A WEEK I HAVE A TERM PAPER ON TESS DUE (THE CONSEQUENCES OF MOTHERHOOD BEFORE BEING WED IN ENGLAND IN THE 1800'S AS SEEN IN TESS) PLEASE IF YOU HAVE ANY MATERIAL THAT CAN HELP ME EMAIL IT TO ME. tHANKS IN ADVANCED!!!!!",Build Quality,I NEED HELP AND SOON IN LESS THAN A WEEK I HAVE A TERM PAPER ON TESS DUE (THE CONSEQUENCES OF MOTHERHOOD BEFORE BEING WED IN ENGLAND IN THE 1800'S AS SEEN IN TESS) PLEASE IF YOU HAVE ANY MATERIAL THAT CAN HELP ME EMAIL IT TO ME,Positive,0.9999993316470907
"Tess, a naive and young girl whose one night relationship with her cousin Alec ruins her life, is a great example of a woman in love who would do anything for her husband and nothing for herself. Tess is a great book to read. I NEED HELP AND SOON IN LESS THAN A WEEK I HAVE A TERM PAPER ON TESS DUE (THE CONSEQUENCES OF MOTHERHOOD BEFORE BEING WED IN ENGLAND IN THE 1800'S AS SEEN IN TESS) PLEASE IF YOU HAVE ANY MATERIAL THAT CAN HELP ME EMAIL IT TO ME. tHANKS IN ADVANCED!!!!!",Customer Support,I NEED HELP AND SOON IN LESS THAN A WEEK I HAVE A TERM PAPER ON TESS DUE (THE CONSEQUENCES OF MOTHERHOOD BEFORE BEING WED IN ENGLAND IN THE 1800'S AS SEEN IN TESS) PLEASE IF YOU HAVE ANY MATERIAL THAT CAN HELP ME EMAIL IT TO ME,Positive,0.9999993316470907
"THIS IS A REVIEW OF THE AMAZON KINDLE EDITIONNot worth having. The work is not scanned in properly. It lacks a hyperlinked table of contents. SO if you want to find ""A Man with a Maid"" you have to click through all the pages between here and there to get to it. That sort of spoils the moment so to speak.Heck the table of contentsR e a d s l i k e t h i sHow hard is it to do the job right?This publication detracts from the Kindle's reputation. Amazon ought to withdraw it.",Price / Value,THIS IS A REVIEW OF THE AMAZON KINDLE EDITIONNot worth having,Negative,0.9999995620317794
"As of this review, the Kindle edition cost $12.99 and the paperback cost $10.88 - or over $2 more expensive for a digital version that actually saves the publisher money. I actually enjoy Dharma Bums, but Penguin should be absolutely ashamed of themselves for this. I wanted to reread this on my Kindle, but Penguin has decided to screw the readers who keep its business afloat. I'll be sure to keep this in mind for future purchases.Also, for those who will bash my review, the cost of the book is an essential to the value proposition of a book. There are constant bad reviews for publishers that break up short story collection and sell them individually for the price of an individual book. This is no different. Penguin wants me to spend nearly $300 for a Kindle and a case so that they can charge me more for books, all while they save money on production costs??? You've got to be joking!",Price / Value,"As of this review, the Kindle edition cost $12 ... 99 and the paperback cost $10 ... 88 - or over $2 more expensive for a digital version that actually saves the publisher money ... Also, for those who will bash my review, the cost of the book is an essential to the value proposition of a book ... There are constant bad reviews for publishers that break up short story collection and sell them individually for the price of an individual book ... they save money on production costs",Positive,0.9996203611690002
"As of this review, the Kindle edition cost $12.99 and the paperback cost $10.88 - or over $2 more expensive for a digital version that actually saves the publisher money. I actually enjoy Dharma Bums, but Penguin should be absolutely ashamed of themselves for this. I wanted to reread this on my Kindle, but Penguin has decided to screw the readers who keep its business afloat. I'll be sure to keep this in mind for future purchases.Also, for those who will bash my review, the cost of the book is an essential to the value proposition of a book. There are constant bad reviews for publishers that break up short story collection and sell them individually for the price of an individual book. This is no different. Penguin wants me to spend nearly $300 for a Kindle and a case so that they can charge me more for books, all while they save money on production costs??? You've got to be joking!",Battery,"Penguin wants me to spend nearly $300 for a Kindle and a case so that they can charge me more for books, all",Negative,0.9862953973382143
I ordered two of these for my kids. The pump for the rocket is made so you have to hold it while pumping but there is no good way to hold it securely while pumping. There is a trigger to lock in the rocket while pumping but the trigger is in the way of holding the pump and is unsafe because a simple bump makes the rocket launch accidentally. The piston in the pump is so cheap that it bends when you push it in. The end cap on the pump chamber is not properly secured to the pump. I tried the pumps that came with both rockets. The rocket's highest flight was about 10 feet becuase the pumps were so lame.,Price / Value,The piston in the pump is so cheap that it bends when you push it in,Positive,0.7370789457793769
"As a long time Kurt Cobain fan ,Kurt was the reason I learned guitar years ago ,I was always a singer and songwriter since I was young but when Nirvana came out in 1991 I learned guitar as well cause the man inspired me too not just sing but write my own riffs.on this release save the money and buy the whole box set it is worth it, except for Courtney being the Yoko Ono money whore that she is and saving these extra demo tracks for this cd instead of putting every last outake demo live etc on last years boxed set.so you have to buy this cd just for the 3 new tracks.I know Courtney has enough money so I would'nt buy this cd.Kurt should not be remembered this way with his widow milking every dollar she could get.I will make sure if I become famous that only my children would be in control of my music who would treat it with respect.",Price / Value,"on this release save the money and buy the whole box set it is worth it, except for Courtney being the Yoko Ono money whore that she is and saving these extra demo tracks for this cd instead of putting every last outake demo live etc on last years boxed set ... I know Courtney has enough money so I would'nt buy this cd",Negative,0.5491314291505303
"As a long time Kurt Cobain fan ,Kurt was the reason I learned guitar years ago ,I was always a singer and songwriter since I was young but when Nirvana came out in 1991 I learned guitar as well cause the man inspired me too not just sing but write my own riffs.on this release save the money and buy the whole box set it is worth it, except for Courtney being the Yoko Ono money whore that she is and saving these extra demo tracks for this cd instead of putting every last outake demo live etc on last years boxed set.so you have to buy this cd just for the 3 new tracks.I know Courtney has enough money so I would'nt buy this cd.Kurt should not be remembered this way with his widow milking every dollar she could get.I will make sure if I become famous that only my children would be in control of my music who would treat it with respect.",Delivery / Packaging,"on this release save the money and buy the whole box set it is worth it, except for Courtney being the Yoko Ono money whore that she is and saving these extra demo tracks for this cd instead of putting every last outake demo live etc on last years boxed set",Positive,0.9465952615553593
I bought this power adapter and it worked just fine at first. I took good care of it and after about six months it just stopped working.,Battery,I bought this power adapter and it worked just fine at first,Positive,0.9999169219716257
"After waiting months for this game to be released I find that its is essentially unplayable. Although I have a reasonably fast PC 3.06 Ghz and a fair video display, the game is slow and jerky and it crashes or hangs up constantly. Having played all the TR games this is by far the worst. I will be trying to get my money back on this one. If you haven't already bought it don't waste your time or your money.",Price / Value,I will be trying to get my money back on this one ... If you haven't already bought it don't waste your time or your money,Negative,0.9999998978786415
"...Mr. Jensen and his wife have developed a veritable cottage industry replete with workshops, seminars, presentations, publications, certifications -- if you've got the money then they have something to sell you...and all of it is centered around what is termed ""brain-based learning""...but what this book presents is little more than 400 pages of scientifically unsubstantiated claims and recommendations...for example, it claims that the color yellow somehow enhances intellectual performance and, hence, classrooms should be painted yellow...however, he doesn't offer a shred of evidence to back that claim up...it's all just ridiculous...how does this stuff ever make it into print?",Price / Value,"Jensen and his wife have developed a veritable cottage industry replete with workshops, seminars, presentations, publications, certifications -- if you've got the money then they have something to sell you",Positive,0.9999999999729259
"This is the only official history of the giant utility that serves most of northern and central California. Written in 1950, when the company (and its official biographer) were heedless of the changes that the future held in store for the energy industry overall (and utilities in particular) as well as for the end of unbridled growth and development in the state of California. Coleman is a real booster for PG&E. If you want the PR line, from the generation that build the company between 1930 and the 1950, this is the reference book you want.",Build Quality,"If you want the PR line, from the generation that build the company between 1930 and the 1950, this is the reference book you want",Negative,0.9978582100355996
"It only took me about 15 minutes. These Transformers movies keep getting more expensive and equally more ridiculous. The first one was charming and really funny, especially the first half. The humor reminded me of Armageddon. I actually liked Shia LaBeouf back then. This one tries way too hard in every aspect and fails in almost all of them. I understand these movies are not to be taken too seriously (I mean this is one step up from Power Rangers), but this movie could've been presented much better.The only reason I'm not giving one star is because the special effects and action sequences were exciting at times.",Price / Value,These Transformers movies keep getting more expensive and equally more ridiculous,Negative,0.9973493207760762
"It only took me about 15 minutes. These Transformers movies keep getting more expensive and equally more ridiculous. The first one was charming and really funny, especially the first half. The humor reminded me of Armageddon. I actually liked Shia LaBeouf back then. This one tries way too hard in every aspect and fails in almost all of them. I understand these movies are not to be taken too seriously (I mean this is one step up from Power Rangers), but this movie could've been presented much better.The only reason I'm not giving one star is because the special effects and action sequences were exciting at times.",Battery,I understand these movies are not to be taken too seriously (I mean this is one step up from Power Rangers),Positive,0.5568008081603074
"I love the look of these, and they've been a great value--about seven years ago I bought four of all 4 sizes, and only two are gone (my grandchildren love the oversized ones)! In 40 years, I never found glasses that went with everything, and survived, so I'm stocking up with this large set of my favorite sizes. Thank you, Amazon.com!",Price / Value,"I love the look of these, and they've been a great value--about seven years ago I bought four of all 4 sizes, and only two are gone (my grandchildren love the oversized ones)",Positive,0.9999997093654104
Arrived very quickly and it is a cute topper however I wouldn't have bought it if they didn't provide instructions!!!! I should have listened to the other reviews.... If you are hoping to get more than the topper DO NOT BUY THIS!! So annoyed I have this Ariel and have no idea how to decorate the cake.,Delivery / Packaging,Arrived very quickly and it is a cute topper,Positive,0.998412982416636
"This kindle version is not worth the money, even if very cheap. It is a poor uncorrected ocr scan. It is unreadable and unusable. Find a cleaner edition. This is a rip-off.",Price / Value,"This kindle version is not worth the money, even if very cheap",Negative,0.9954562095365264
"Unfortunately I shall not be able to review the Macally Power Adapter. I did not pay due attention to the fact that the AC adaptor works with G3 iBook and G4 PowerBook only.I plugged it in with a G4 iBook , it made some complaining noises and it died. Maybe it would be proper to really WARN that it will NOT work with a G4 iBook in CAPITAL LETTERS.$40.- down the drain!",Battery,Unfortunately I shall not be able to review the Macally Power Adapter,Positive,0.9999997749246129
"This books just didn't do it for me. I enjoy PC but this book. Seemed too easy. Things just happend, people just called. In fact, I think this books had some bad editing. I felt as though all what was needed was there, and that someone just yanked out the big sections for no reason.I am still a fan, but this one is a skipper.The doc just happens, to see the resturante that the killer was using.The polices offer in charge is left in the subway with two people who are not police. Just does not at add.",Battery,The polices offer in charge is left in the subway with two people who are not police,Negative,0.9899814175177464
"The musical performances here are quite dull. There is nothing wrong about them except that the musicians seem to be simply doing their job and nothing else. If I had paid good money for this concert in person, I would have been highly disappointed. The video quality is even worse. The DVD is cheap but not cheap enough to justify its purchase.",Price / Value,"If I had paid good money for this concert in person, I would have been highly disappointed ... The DVD is cheap ... not cheap enough to justify its purchase",Negative,0.9999999998048399
"The musical performances here are quite dull. There is nothing wrong about them except that the musicians seem to be simply doing their job and nothing else. If I had paid good money for this concert in person, I would have been highly disappointed. The video quality is even worse. The DVD is cheap but not cheap enough to justify its purchase.",Build Quality,The video quality is even worse,Negative,0.9990007226615414
wow this is the first time im ever writing a review for a cd i never got to listen to (thanks to the poor slow sevice from amazon).Ordered this item april 15 2011 .First i was supposed to get it by april 29th then they pushed it to may 27th poor timing for amazon because they screwed up a previous order .I cancelled this order it was supposed to be an anniversary gift for my husband .I suggest people be careful when ordering this product because it will take its sweet time getting there if it does at all or maybe you will get it by next year.I was being very generous rating 1 star not for the music but for the poor service i will not be re ordering,Customer Support,for the poor service i will not be re ordering,Negative,0.9999994558240283
"I was amazed to find out that this cable was so cheap and would work with my 1080p tv. Much to my surprise, the cable didn't respond too well to my tv and left me with black screens every so often. When I did my reasearch, I realized that not all HDMI cables are the same! If the cable is anywhere from $1 to $40, chances are it won't work well and isn't HDMI-Certified.Doesn't seem strange to only have to spend $1 on a High Definition cable when your tv and sound system probably cost around 3 grand?THERE ARE DIFFERENCES BETWEEN HDMI CABLES! NEVER BUY A CABLE UNLESS IT HAS BANDWITH, SPEED, COLOR, SOUND, AND FREQUENCY RATINGS ON IT! Also remember, the longer the cable the less data makes it out of the other side!Watch videos on Monstercable.com to learn more about which cable is best for you and you tv.",Price / Value,I was amazed to find out that this cable was so cheap and would work with my 1080p tv ... Doesn't seem strange to only have to spend $1 on a High Definition cable when your tv and sound system probably cost around 3 grand,Negative,0.9999999999998235
Launcher broke after a couple of flights. Not surprising for the cost. These were popular when I was a kid and this model WAS enjoyable while it lasted.,Price / Value,Not surprising for the cost,Positive,0.80223349300071
I was not able to see if this piece was nice or not. It broke into a million pieces on arrival. You could hear the delivery guy when he was walking to my door. VERY DISAPPOINTED because it was a gift. Returned it right away! Buyer beware!!,Delivery / Packaging,You could hear the delivery guy when he was walking to my door,Negative,0.7958134391530418
"I bought a 3D TV only to find out that the selection of 3D Blu-rays absolutely sucks. Half of them are kids movies but the 3D warning says kids aren't supposed to watch 3D movies. No wonder so many people think 3D is a gimmick.The only great things about 3D so far, are some of the PS3 games.my fav right now is God Of War: Origins collectionI want in 3D now!Kung fu panda 2transformers: dark of the moonavatar - available to the public at reasonable price instead of one-hundred-sixty bucks(what a crock, can't believe such a good director sold his soul to panasonic)Wake up, hollywood.Between the economy and the lack of 3D content, I think America's going to hell. They've got their heads too far up their asses and low IQs too. The only thing America is #1 at is creating weapons of mass destruction",Price / Value,"Kung fu panda 2transformers: dark of the moonavatar - available to the public at reasonable price instead of one-hundred-sixty bucks(what a crock, can't believe such a good director sold his soul to panasonic)Wake up, hollywood",Negative,0.9999565769028766
"The product seemed like a good idea but wish I had read all of the reviews before ordering. The product is not sturdy at all. It didn't come with the number of screws noted on the instructions so I had to go out and purchase more in order to finish putting it together. That was after I spent way to much time trying to decipher the instructions. Also, the clips that hold the bag to the frame are very tight and very difficult to put on and remove. I've torn every bag I've used. I hate wasting my money; but, I'll have to buy a better one.",Price / Value,I hate wasting my money,Negative,0.9729012905908864
It's hard to write a full 20 words on a toy that broke on the very first use leaving me with a cheap piece of plastic and a crying five year old.,Build Quality,It's hard to write a full 20 words on a toy that broke on the very first use leaving me with a cheap piece of plastic and a crying five year old,Negative,0.9999971768277356
It's hard to write a full 20 words on a toy that broke on the very first use leaving me with a cheap piece of plastic and a crying five year old.,Price / Value,It's hard to write a full 20 words on a toy that broke on the very first use leaving me with a cheap piece of plastic and a crying five year old,Negative,0.9999971768277356
"It is understandable why his other books, according to his own admission, were not well received.Mr. Keel offers some rather off the wall explanations with little or nothing in the way of proof except HIS word. For those unfamiliar with this subject, controversial as it is, the book may have some interest even if of very little value.Mr. Keel dismisses, with a wave of his hand, everything written by valid and serious investigations. Admittedly there are those who have written who do not deserve to be taken seriously and Mr. Keel is at the top of that list.Desmond",Price / Value,"For those unfamiliar with this subject, controversial as it is, the book may have some interest even if of very little value",Positive,0.9908048558750474
"I have had the charger for more than two years. It charges AA batteries just fine, but has a huge problem securing smaller AAA batteries. To charge the smaller batteries you need to flip down the little button at the positive end. In the beginning one of the four AAA batteries would pop up, and now three out of the four won't hold. The problem is the flip mechanism became loose, and any horizontal pressure would push the buttons back up. What I have to do now is using duct tape and a segment of crayon, apply the crayon on the buttons, and wrap the tape around. You know how painful that is.",Battery,I have had the charger for more than two years ... To charge the smaller batteries you need to flip down the little button at the positive end,Positive,0.5939541072205519
